Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,y_pred,y_act
1.0,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,8.99815672331748,9
1.0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9.199712223481896,9
1.0,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,15.896616409031497,16
1.0,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12.04126164017991,12
1.0,0.635,0.48,0.235,1.064,0.413,0.228,0.36,15.655436100577356,16
1.0,0.505,0.375,0.115,0.5895,0.2635,0.12,0.16699999999999998,10.173062317103193,10
1.0,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,10.90546920385033,11
1.0,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13.532567993876775,13
1.0,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12.091723718050837,12
1.0,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,8.667506077971604,9
1.0,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,13.824829769015727,14
1.0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,8.776560260497071,9
1.0,0.635,0.48,0.19,1.467,0.5825,0.303,0.42,14.927392868992166,15
1.0,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,15.882508856018703,16
1.0,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10.021144928966427,10
1.0,0.62,0.48,0.18,1.1305,0.5285,0.2655,0.306,11.813272691475708,12
1.0,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,12.950923985981653,13
1.0,0.345,0.255,0.1,0.197,0.071,0.051,0.06,8.628463598011832,9
1.0,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10.146648479360138,10
1.0,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,9.166587884171523,9
1.0,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8.291407397975549,8
1.0,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9.020799163003266,9
1.0,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,11.968505783657667,12
1.0,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,12.830543033216129,13
1.0,0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,9.687573339215602,10
1.0,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,10.76348215593582,11
1.0,0.295,0.215,0.075,0.116,0.037000000000000005,0.0295,0.04,7.766197894752711,8
1.0,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10.237490983732688,10
1.0,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,9.844470361465717,10
1.0,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,10.794236552757486,11
1.0,0.535,0.45,0.135,0.8075,0.322,0.181,0.25,12.616011737410668,13
1.0,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8.21583258442005,8
1.0,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10.18994252348219,10
1.0,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24,13.06256910917946,13
1.0,0.665,0.54,0.175,1.347,0.4955,0.254,0.415,16.719275507757796,17
1.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,12.97175150741647,13
1.0,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16.280726228122145,16
1.0,0.605,0.475,0.19,1.1255,0.59,0.247,0.26,10.2371598540465,10
1.0,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,14.07422250080317,14
1.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,13.610526685515074,14
1.0,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13.17968396215149,13
1.0,0.375,0.29,0.1,0.276,0.1175,0.0565,0.085,9.031712615907878,9
1.0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,10.935694903855548,11
1.0,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14.059845638049378,14
1.0,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9.068874343383044,9
1.0,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,11.986295422368155,12
1.0,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14.215782956564004,14
1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07,8.82526274780599,9
1.0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,9.694137697989758,10
1.0,0.32,0.23,0.06,0.129,0.0615,0.0275,0.0355,7.213978043683892,7
1.0,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,11.66022745232614,12
1.0,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,13.861670070315778,14
1.0,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,15.94339776194191,16
1.0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,13.968861802179031,14
1.0,0.68,0.52,0.175,1.543,0.7525,0.35100000000000003,0.374,11.021133773387282,11
1.0,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19.35681891294389,19
1.0,0.55,0.435,0.16,0.906,0.342,0.219,0.295,13.366683981413118,13
1.0,0.29,0.225,0.07,0.101,0.036000000000000004,0.0235,0.035,7.736083713543211,8
1.0,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12.094064173897495,12
1.0,0.615,0.475,0.165,1.023,0.4905,0.1955,0.3035,12.108823133722849,12
1.0,0.595,0.44,0.135,0.964,0.5005,0.1715,0.2575,10.103139278813071,10
1.0,0.59,0.45,0.185,1.283,0.473,0.276,0.425,15.550634036792713,16
1.0,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11.165119872835014,11
1.0,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145,10.717664464193737,11
1.0,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11.197518617548415,11
1.0,0.385,0.3,0.095,0.24,0.0885,0.059,0.085,9.314482615139399,9
1.0,0.585,0.51,0.16,1.218,0.639,0.241,0.3,10.707948291087787,11
1.0,0.44,0.325,0.11,0.4965,0.258,0.1195,0.1075,8.081219924597331,8
1.0,0.655,0.5,0.22,1.359,0.642,0.3255,0.405,12.880969158209137,13
1.0,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12.105410649433713,12
1.0,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,7.2612872695099755,7
1.0,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8.059020733076823,8
1.0,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,10.97010083545489,11
1.0,0.49,0.39,0.135,0.59,0.215,0.125,0.1845,11.988652290264397,12
1.0,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,10.771470370526112,11
1.0,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,10.898384564260848,11
1.0,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,10.715967690212379,11
1.0,0.495,0.38,0.145,0.515,0.175,0.098,0.212,12.800364406627027,13
1.0,0.33,0.26,0.08,0.2,0.0625,0.05,0.07,8.766899677140035,9
1.0,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9.062756595050164,9
1.0,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10.191861290100926,10
1.0,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,13.594548116565027,14
1.0,0.435,0.34,0.11,0.407,0.1685,0.073,0.13,10.233530764181904,10
1.0,0.17,0.125,0.055,0.0235,0.009000000000000001,0.0055,0.008,6.1507779723116505,6
1.0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,10.634547405868364,11
1.0,0.525,0.4,0.115,0.6295,0.2555,0.14400000000000002,0.18,10.900343594369506,11
1.0,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,15.682890114541031,16
1.0,0.46,0.375,0.135,0.4935,0.18600000000000005,0.0845,0.17,11.88277123166764,12
1.0,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11.10276157596251,11
1.0,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15.077339326545188,15
1.0,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,10.917308328836901,11
1.0,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,15.832598222664698,16
1.0,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15.595368462718959,15
1.0,0.56,0.445,0.195,0.981,0.305,0.2245,0.335,16.006894588016948,16
1.0,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,9.728642425816679,10
1.0,0.415,0.315,0.115,0.3895,0.2015,0.065,0.103,8.90047625160541,9
1.0,0.445,0.345,0.09,0.3795,0.14300000000000002,0.07400000000000001,0.125,10.154215241754962,10
1.0,0.59,0.465,0.155,1.136,0.5245,0.2615,0.275,11.084277208645917,11
1.0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9.067098267161715,9
1.0,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945,12.359650143784345,12
1.0,0.55,0.42,0.115,0.6679999999999999,0.2925,0.13699999999999998,0.209,11.116779368185659,11
1.0,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11.120757776513784,11
1.0,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8.181091227966451,8
1.0,0.54,0.44,0.16,1.0905,0.391,0.2295,0.355,14.789198371565442,15
1.0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10.199721372012014,10
1.0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,9.633632091773235,10
1.0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,9.880356066828524,10
1.0,0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865,11.975149935157594,12
1.0,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10.301478316713299,10
1.0,0.28,0.2,0.065,0.0895,0.036000000000000004,0.0185,0.03,7.206918967675949,7
1.0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11.193582353700965,11
1.0,0.64,0.485,0.145,1.1335,0.5525,0.2505,0.3015,10.867745542151319,11
1.0,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,13.803862163356554,14
1.0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,8.964976150971916,9
1.0,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,11.960995525502236,12
1.0,0.455,0.36,0.115,0.457,0.2085,0.0855,0.147,10.214719615632408,10
1.0,0.655,0.525,0.18,1.402,0.624,0.2935,0.365,13.274871537139054,13
1.0,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,7.807747930274418,8
1.0,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,10.776063516599748,11
1.0,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,12.972800810988915,13
1.0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,8.94226222926879,9
1.0,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16.338725809298104,16
1.0,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,16.331261450519666,16
1.0,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,9.817656024605355,10
1.0,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,14.617182238842714,15
1.0,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12.248201459724934,12
1.0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8.130606963122434,8
1.0,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12.166944324688462,12
1.0,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11.107281699293509,11
1.0,0.635,0.495,0.175,1.211,0.7070000000000001,0.2725,0.32299999999999995,8.932100124808182,9
1.0,0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,16.953360942571965,17
1.0,0.53,0.435,0.135,0.7365,0.3275,0.1315,0.22,11.839426413281736,12
1.0,0.575,0.45,0.15,0.858,0.449,0.166,0.215,10.214889515887865,10
1.0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10.19652143293189,10
1.0,0.525,0.4,0.125,0.6965,0.369,0.1385,0.16399999999999998,9.122169440411916,9
1.0,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,6.904911025014941,7
1.0,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10.452792826196793,10
1.0,0.475,0.365,0.12,0.53,0.2505,0.0975,0.1625,10.138987073443463,10
1.0,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,11.817689251870982,12
1.0,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,16.65457267700906,17
1.0,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002,10.862166022614181,11
1.0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7.199885287096066,7
1.0,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,11.856785059452388,12
1.0,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8.15876424944967,8
1.0,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9.279084369706712,9
1.0,0.275,0.2,0.065,0.1165,0.0565,0.013,0.035,7.166049795403433,7
1.0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,9.796317479663044,10
1.0,0.64,0.565,0.23,1.521,0.644,0.3720000000000001,0.406,15.018575629764008,15
1.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,15.957257617845388,16
1.0,0.61,0.475,0.15,1.142,0.62,0.237,0.245,8.996424804207908,9
1.0,0.36,0.27,0.09,0.232,0.12,0.0435,0.056,7.946504841726904,8
1.0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9.220171312441384,9
1.0,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205,11.922990299631204,12
1.0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11.05392607272768,11
1.0,0.565,0.43,0.15,0.831,0.4245,0.1735,0.219,10.185370648643973,10
1.0,0.655,0.52,0.18,1.492,0.7185,0.36,0.355,11.097402337995023,11
1.0,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054000000000000006,8.030413995503391,8
1.0,0.415,0.305,0.105,0.3605,0.12,0.08199999999999999,0.1,9.831282385926517,10
1.0,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13.250701713325396,13
1.0,0.61,0.47,0.15,1.1625,0.565,0.258,0.3085,10.835984795597303,11
1.0,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,8.986620953031942,9
1.0,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15.183252116532723,15
1.0,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,8.84617983824466,9
1.0,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10.261501547385944,10
1.0,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,12.938397985120103,13
1.0,0.64,0.54,0.175,1.221,0.51,0.259,0.39,14.91993093167391,15
1.0,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,8.786928109988688,9
1.0,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,8.79869771325386,9
1.0,0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8.163564872390562,8
1.0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10.307420576803535,10
1.0,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,14.676176941972502,15
1.0,0.57,0.45,0.165,0.903,0.3305,0.1845,0.295,14.236373523304303,14
1.0,0.58,0.475,0.165,1.0385,0.414,0.26,0.305,13.277459353516837,13
1.0,0.68,0.515,0.16,1.2345,0.618,0.2625,0.325,11.116466035278284,11
1.0,0.61,0.47,0.145,1.153,0.403,0.29600000000000004,0.32,13.851945437964966,14
1.0,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9.127079563253082,9
1.0,0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,10.945820806593105,11
1.0,0.65,0.51,0.175,1.3165,0.6345,0.2605,0.364,12.325960908891577,12
1.0,0.42,0.33,0.1,0.35200000000000004,0.1635,0.08900000000000001,0.1,8.992923629586178,9
1.0,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12.067366814356003,12
1.0,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,14.98033648589054,15
1.0,0.58,0.45,0.14,1.013,0.38,0.21600000000000005,0.36,14.185278757406941,14
1.0,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,10.842102965274536,11
1.0,0.605,0.47,0.165,1.2315,0.6025,0.262,0.2925,10.707950514492385,11
1.0,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,16.79323685952914,17
1.0,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07,8.779275583588634,9
1.0,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,8.878301456348705,9
1.0,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9.196941937394271,9
1.0,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,8.610496250165227,9
1.0,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13.15821708900801,13
1.0,0.625,0.465,0.155,0.972,0.404,0.1845,0.35,13.846093300955912,14
1.0,0.65,0.495,0.18,1.793,0.8005,0.339,0.53,14.24908324366191,14
1.0,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,10.640019040678533,11
1.0,0.61,0.495,0.19,1.213,0.464,0.306,0.365,14.658516115904032,15
1.0,0.605,0.485,0.165,1.0735,0.4370000000000001,0.205,0.33,14.142204885616648,14
1.0,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,11.74965886926127,12
1.0,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14.001000343770352,14
1.0,0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,10.781464702167318,11
1.0,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,10.810405700819592,11
1.0,0.695,0.525,0.205,1.8185,0.8190000000000001,0.4025,0.4525,13.085925025828699,13
1.0,0.5,0.39,0.13,0.7090000000000001,0.275,0.168,0.18,11.139930515360719,11
1.0,0.515,0.395,0.14,0.6859999999999999,0.281,0.1255,0.22,11.979705781542128,12
1.0,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,10.796543478178616,11
1.0,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14.22088132472927,14
1.0,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10.436853964923756,10
1.0,0.465,0.39,0.11,0.6355,0.1815,0.157,0.225,12.930063894865302,13
1.0,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7.08519252893406,7
1.0,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9.266190686026473,9
1.0,0.645,0.5,0.175,1.5105,0.6735,0.3755,0.3775,11.994032498608297,12
1.0,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,10.641508271618491,11
1.0,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245,11.816421590447447,12
1.0,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10.25177028361652,10
1.0,0.475,0.4,0.115,0.541,0.18600000000000005,0.1025,0.21,12.595002953380193,13
1.0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12.385399877089622,12
1.0,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,11.95074509400513,12
1.0,0.75,0.57,0.21,2.236,1.109,0.5195,0.545,11.094647712236812,11
1.0,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,7.780835197406553,8
1.0,0.625,0.5,0.18,1.3705,0.645,0.303,0.3705,12.207359644067603,12
1.0,0.45,0.33,0.105,0.448,0.208,0.08900000000000001,0.12,9.1740328485056,9
1.0,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20.580046207112566,20
1.0,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,12.912147633785533,13
1.0,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,8.897721540129215,9
1.0,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,9.68877328059481,10
1.0,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,16.765140034081572,17
1.0,0.41,0.315,0.11,0.321,0.1255,0.0655,0.095,9.719181092984034,10
1.0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10.100515336303202,10
1.0,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10.111781874581348,10
1.0,0.56,0.435,0.15,0.8715,0.4755,0.1835,0.1835,9.004736026875,9
1.0,0.38,0.325,0.11,0.3105,0.12,0.07400000000000001,0.105,10.009055937255722,10
1.0,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11.14658080072558,11
1.0,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10.187416117991905,10
1.0,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,9.939356390401711,10
1.0,0.495,0.39,0.125,0.6655,0.284,0.162,0.2,10.780241623864818,11
1.0,0.4,0.315,0.105,0.287,0.1135,0.037000000000000005,0.113,10.167018474274519,10
1.0,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11.13492645984689,11
1.0,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11.005004853091622,11
1.0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08,9.39797690621013,9
1.0,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,11.98458246523301,12
1.0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11.247285114299526,11
1.0,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,14.855213980411417,15
1.0,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13.086036052093538,13
