,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
301,1.0,0.285,0.215,0.06,0.0935,0.031,0.023,0.03
315,1.0,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223
322,1.0,0.57,0.43,0.16,0.8109999999999999,0.3875,0.159,0.2285
357,1.0,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315
365,1.0,0.38,0.29,0.085,0.2285,0.08800000000000001,0.0465,0.075
381,1.0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
399,1.0,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43
417,1.0,0.21,0.15,0.055,0.0465,0.017,0.012,0.015
419,1.0,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
422,1.0,0.585,0.48,0.185,1.04,0.434,0.265,0.285
424,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
429,1.0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
435,1.0,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315
438,1.0,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245
450,1.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165
477,1.0,0.6,0.5,0.16,1.122,0.5095,0.256,0.309
501,1.0,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
503,1.0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215
507,1.0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
524,1.0,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07
546,1.0,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
579,1.0,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225
590,1.0,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28
595,1.0,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081
604,1.0,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
612,1.0,0.31,0.225,0.075,0.155,0.065,0.037000000000000005,0.0365
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
621,1.0,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039
657,1.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385
662,1.0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055
673,1.0,0.66,0.505,0.185,1.528,0.69,0.3025,0.441
678,1.0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
680,1.0,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745
706,1.0,0.58,0.475,0.155,0.974,0.4305,0.23,0.285
732,1.0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
734,1.0,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19
737,1.0,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07
750,1.0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185
772,1.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
780,1.0,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765
787,1.0,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325
826,1.0,0.59,0.455,0.155,0.8855,0.388,0.188,0.275
837,1.0,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192
849,1.0,0.425,0.34,0.1,0.371,0.15,0.0865,0.115
853,1.0,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006
874,1.0,0.54,0.415,0.17,0.879,0.339,0.208,0.255
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04
893,1.0,0.66,0.53,0.175,1.5830000000000002,0.7395,0.3505,0.405
929,1.0,0.69,0.55,0.195,1.777,0.769,0.38,0.4305
937,1.0,0.37,0.275,0.1,0.22,0.094,0.045,0.065
942,1.0,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
946,1.0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035
949,1.0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285
959,1.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07
991,1.0,0.47,0.37,0.11,0.5555,0.25,0.115,0.163
1004,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
1007,1.0,0.405,0.3,0.11,0.32,0.172,0.044,0.093
1015,1.0,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
1016,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077
1020,1.0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
1023,1.0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09
1030,1.0,0.375,0.285,0.09,0.257,0.1045,0.062,0.075
1032,1.0,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095
1070,1.0,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635
1090,1.0,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185
1095,1.0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235
1124,1.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38
1133,1.0,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4
1154,1.0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
1187,1.0,0.51,0.4,0.145,0.5775,0.231,0.14300000000000002,0.177
1210,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
1215,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
1263,1.0,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
1299,1.0,0.47,0.355,0.12,0.393,0.16699999999999998,0.0885,0.115
1311,1.0,0.59,0.47,0.18,1.187,0.5985,0.227,0.31
1320,1.0,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065
1321,1.0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175
1323,1.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02
1337,1.0,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455
1360,1.0,0.6,0.475,0.15,1.13,0.575,0.196,0.305
1372,1.0,0.555,0.44,0.14,0.846,0.34600000000000003,0.1715,0.2735
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
1376,1.0,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755
1377,1.0,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735
1385,1.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
1387,1.0,0.41,0.335,0.115,0.4405,0.19,0.085,0.135
1392,1.0,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03
1403,1.0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
1409,1.0,0.515,0.415,0.135,0.7125,0.285,0.152,0.245
1412,1.0,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013
1436,1.0,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745
1439,1.0,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535
1452,1.0,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425
1459,1.0,0.545,0.41,0.115,0.6765,0.29,0.158,0.22
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625
1464,1.0,0.65,0.525,0.19,1.3685,0.5975,0.29600000000000004,0.4
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56
1489,1.0,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6
1491,1.0,0.58,0.455,0.17,0.93,0.408,0.259,0.22
1515,1.0,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29
1516,1.0,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305
1542,1.0,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465
1555,1.0,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385
1560,1.0,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12
1563,1.0,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02
1600,1.0,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225
1601,1.0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
1618,1.0,0.65,0.495,0.175,1.227,0.528,0.258,0.37
1619,1.0,0.39,0.315,0.09,0.3095,0.147,0.05,0.09
1628,1.0,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041
1629,1.0,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12
1632,1.0,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645
1663,1.0,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545
1678,1.0,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215
1705,1.0,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
1709,1.0,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
1713,1.0,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042
1746,1.0,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265
1773,1.0,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05
1796,1.0,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485
1801,1.0,0.475,0.385,0.12,0.562,0.289,0.0905,0.153
1807,1.0,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398
1819,1.0,0.415,0.305,0.12,0.336,0.165,0.076,0.0805
1823,1.0,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185
1828,1.0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08
1830,1.0,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425
1832,1.0,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955
1836,1.0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49
1838,1.0,0.57,0.44,0.12,0.8029999999999999,0.382,0.1525,0.234
1862,1.0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
1878,1.0,0.355,0.275,0.09,0.251,0.097,0.053,0.08
1888,1.0,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545
1893,1.0,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075
1901,1.0,0.64,0.585,0.195,1.6469999999999998,0.7225,0.331,0.471
1922,1.0,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255
1929,1.0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275
1943,1.0,0.67,0.54,0.195,1.619,0.74,0.3305,0.465
1952,1.0,0.435,0.325,0.105,0.335,0.136,0.065,0.115
1977,1.0,0.635,0.51,0.185,1.286,0.526,0.295,0.4105
2005,1.0,0.575,0.47,0.155,1.116,0.509,0.238,0.34
2010,1.0,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
2035,1.0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238
2038,1.0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315
2045,1.0,0.41,0.31,0.09,0.339,0.155,0.0695,0.09
2054,1.0,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505
2058,1.0,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08
2063,1.0,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
2078,1.0,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125
2079,1.0,0.445,0.32,0.12,0.378,0.152,0.0825,0.12
2080,1.0,0.525,0.4,0.145,0.6095,0.248,0.159,0.175
2086,1.0,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08
2091,1.0,0.57,0.435,0.17,0.873,0.382,0.183,0.2705
2101,1.0,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215
2103,1.0,0.46,0.36,0.14,0.447,0.161,0.087,0.16
2125,1.0,0.32,0.215,0.095,0.305,0.14,0.067,0.0885
2136,1.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
2163,1.0,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
2183,1.0,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081
2189,1.0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
2212,1.0,0.49,0.38,0.14,0.7605,0.245,0.16699999999999998,0.185
2213,1.0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42
2223,1.0,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255
2231,1.0,0.39,0.29,0.09,0.2625,0.117,0.054000000000000006,0.077
2232,1.0,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05
2239,1.0,0.65,0.59,0.22,1.662,0.77,0.378,0.435
2243,1.0,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126
2249,1.0,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785
2257,1.0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
2258,1.0,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161
2263,1.0,0.38,0.3,0.1,0.28600000000000003,0.1305,0.056,0.09
2277,1.0,0.635,0.495,0.195,1.297,0.556,0.2985,0.37
2304,1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48
2321,1.0,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015
2324,1.0,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
2326,1.0,0.6,0.5,0.17,1.13,0.4405,0.267,0.335
2341,1.0,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155
2342,1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
2356,1.0,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035
2358,1.0,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
2363,1.0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131
2381,1.0,0.57,0.465,0.155,0.9685,0.446,0.261,0.255
2393,1.0,0.58,0.45,0.235,1.071,0.3,0.206,0.395
2396,1.0,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.07200000000000001
2430,1.0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725
2433,1.0,0.17,0.105,0.035,0.034,0.012,0.0085,0.005
2440,1.0,0.3,0.23,0.075,0.127,0.052000000000000005,0.03,0.0345
2441,1.0,0.62,0.51,0.18,1.3315,0.594,0.276,0.388
2447,1.0,0.58,0.47,0.165,1.041,0.54,0.166,0.279
2454,1.0,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125
2466,1.0,0.68,0.51,0.2,1.6075,0.7140000000000001,0.339,0.4705
2479,1.0,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135
2500,1.0,0.685,0.52,0.15,1.3430000000000002,0.4635,0.292,0.4
2524,1.0,0.32,0.235,0.08,0.1485,0.064,0.031,0.045
2547,1.0,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15
2554,1.0,0.585,0.465,0.165,0.885,0.4025,0.1625,0.274
2561,1.0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31
2566,1.0,0.695,0.53,0.2,2.0475,0.75,0.4195,0.6095
2571,1.0,0.315,0.235,0.055,0.151,0.065,0.027000000000000003,0.039
2575,1.0,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33
2584,1.0,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755
2590,1.0,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525
2611,1.0,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348
2617,1.0,0.54,0.425,0.12,0.8170000000000001,0.2945,0.153,0.195
2625,1.0,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
2646,1.0,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335
2651,1.0,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31
2655,1.0,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.189
2657,1.0,0.64,0.48,0.145,1.1145,0.508,0.24,0.34
2658,1.0,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935
2687,1.0,0.68,0.52,0.185,1.494,0.615,0.3935,0.406
2727,1.0,0.645,0.51,0.2,1.5675,0.621,0.3670000000000001,0.46
2729,1.0,0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135
2752,1.0,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045
2757,1.0,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308
2762,1.0,0.3,0.24,0.09,0.161,0.0725,0.039,0.05
2773,1.0,0.685,0.55,0.2,1.7725,0.813,0.387,0.49
2775,1.0,0.66,0.53,0.17,1.3259999999999998,0.519,0.2625,0.44
2777,1.0,0.425,0.35,0.105,0.393,0.13,0.063,0.165
2790,1.0,0.565,0.44,0.15,0.863,0.435,0.149,0.27
2802,1.0,0.515,0.395,0.125,0.6635,0.32,0.14,0.17
2805,1.0,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053
2807,1.0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12
2820,1.0,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038
2823,1.0,0.475,0.36,0.11,0.452,0.191,0.099,0.13
2832,1.0,0.365,0.27,0.085,0.205,0.078,0.0485,0.07
2844,1.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
2864,1.0,0.435,0.355,0.125,0.4075,0.1535,0.07400000000000001,0.165
2865,1.0,0.475,0.355,0.135,0.4775,0.2145,0.09,0.1435
2867,1.0,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
2870,1.0,0.59,0.49,0.165,1.207,0.5589999999999999,0.235,0.309
2882,1.0,0.56,0.46,0.18,0.97,0.342,0.196,0.355
2883,1.0,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005
2889,1.0,0.305,0.225,0.09,0.1465,0.063,0.034,0.0415
2890,1.0,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1
2895,1.0,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565
2906,1.0,0.535,0.45,0.17,0.7809999999999999,0.3055,0.1555,0.295
2908,1.0,0.375,0.3,0.075,0.14400000000000002,0.059,0.03,0.044
2956,1.0,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
2962,1.0,0.535,0.45,0.155,0.8075,0.3655,0.14800000000000002,0.2595
2974,1.0,0.59,0.455,0.165,1.161,0.38,0.2455,0.28
2978,1.0,0.39,0.29,0.1,0.2225,0.095,0.0465,0.073
2986,1.0,0.695,0.55,0.22,1.5515,0.5660000000000001,0.3835,0.445
3013,1.0,0.595,0.48,0.15,1.11,0.498,0.228,0.33
3018,1.0,0.59,0.475,0.155,0.9715,0.371,0.235,0.28
3020,1.0,0.44,0.325,0.08,0.413,0.14400000000000002,0.1015,0.13
3039,1.0,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815
3044,1.0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085
3054,1.0,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075
3069,1.0,0.23,0.17,0.05,0.057,0.026,0.013,0.016
3078,1.0,0.6,0.45,0.145,0.877,0.4325,0.155,0.24
3093,1.0,0.435,0.34,0.12,0.396,0.1775,0.081,0.125
3095,1.0,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185
3109,1.0,0.43,0.335,0.115,0.406,0.166,0.0935,0.135
3116,1.0,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041
3134,1.0,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345
3145,1.0,0.55,0.415,0.18,1.1655,0.502,0.301,0.311
3152,1.0,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495
3163,1.0,0.395,0.325,0.105,0.306,0.111,0.0735,0.095
3165,1.0,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145
3172,1.0,0.295,0.22,0.065,0.1295,0.052000000000000005,0.028,0.035
3177,1.0,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065
3184,1.0,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305
3196,1.0,0.535,0.43,0.155,0.7845,0.3285,0.16899999999999998,0.245
3212,1.0,0.48,0.355,0.11,0.4495,0.201,0.08900000000000001,0.14
3220,1.0,0.635,0.485,0.155,1.073,0.467,0.1975,0.35
3223,1.0,0.6,0.475,0.175,1.3445,0.5489999999999999,0.2875,0.36
3230,1.0,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075
3236,1.0,0.48,0.37,0.12,0.536,0.251,0.114,0.15
3240,1.0,0.475,0.36,0.14,0.5135,0.241,0.1045,0.155
3253,1.0,0.215,0.165,0.055,0.059,0.0265,0.0125,0.0185
3279,1.0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005
3312,1.0,0.65,0.52,0.195,1.6275,0.6890000000000001,0.3905,0.4320000000000001
3317,1.0,0.615,0.5,0.165,1.327,0.6,0.3015,0.355
3321,1.0,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253
3326,1.0,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575
3335,1.0,0.575,0.45,0.185,0.925,0.342,0.197,0.35
3352,1.0,0.56,0.425,0.135,0.8205,0.3715,0.185,0.236
3355,1.0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
3370,1.0,0.66,0.52,0.19,1.558,0.755,0.298,0.4
3378,1.0,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41
3384,1.0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
3385,1.0,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
3397,1.0,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075
3400,1.0,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
3404,1.0,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02
3409,1.0,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215
3410,1.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
3412,1.0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
3441,1.0,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405
3443,1.0,0.575,0.445,0.145,0.8759999999999999,0.3795,0.1615,0.27
3448,1.0,0.63,0.485,0.185,1.167,0.5479999999999999,0.2485,0.34
3452,1.0,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215
3456,1.0,0.51,0.37,0.21,1.183,0.508,0.292,0.343
3459,1.0,0.46,0.35,0.115,0.44,0.19,0.1025,0.13
3470,1.0,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245
3477,1.0,0.515,0.395,0.135,0.516,0.2015,0.132,0.162
3493,1.0,0.3,0.23,0.085,0.117,0.05,0.0175,0.0415
3526,1.0,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01
3560,1.0,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215
3570,1.0,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685
3571,1.0,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425
3596,1.0,0.595,0.46,0.155,1.0455,0.4565,0.24,0.3085
3614,1.0,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975
3623,1.0,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19
3625,1.0,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285
3642,1.0,0.16,0.12,0.02,0.018000000000000002,0.0075,0.0045,0.005
3666,1.0,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665
3678,1.0,0.615,0.5,0.17,1.054,0.4845,0.228,0.295
3688,1.0,0.425,0.31,0.09,0.301,0.1385,0.065,0.08
3698,1.0,0.39,0.295,0.1,0.279,0.1155,0.059,0.08
3706,1.0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
3721,1.0,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305
3722,1.0,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381
3735,1.0,0.66,0.51,0.175,1.218,0.5055,0.303,0.37
3743,1.0,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965
3752,1.0,0.645,0.525,0.2,1.449,0.601,0.2565,0.505
3754,1.0,0.485,0.37,0.14,0.5065,0.2425,0.08800000000000001,0.1465
