,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
2429,1.0,0.38,0.285,0.1,0.2665,0.115,0.061,0.075
2445,1.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3
2461,1.0,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315
2465,1.0,0.53,0.42,0.13,1.001,0.34,0.226,0.265
2497,1.0,0.63,0.515,0.165,1.352,0.488,0.349,0.45
2512,1.0,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41
2535,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
2552,1.0,0.545,0.41,0.145,0.873,0.3035,0.196,0.31
2563,1.0,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175
2564,1.0,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578
2599,1.0,0.46,0.355,0.14,0.4935,0.21600000000000005,0.133,0.115
2602,1.0,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605
2605,1.0,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935
2609,1.0,0.635,0.48,0.145,1.181,0.665,0.229,0.225
2632,1.0,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525
2640,1.0,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
2648,1.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2664,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13
2682,1.0,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563
2683,1.0,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21
2689,1.0,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
2701,1.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
2705,1.0,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195
2718,1.0,0.525,0.39,0.135,0.6005,0.2265,0.131,0.21
2720,1.0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25
2732,1.0,0.5,0.375,0.14,0.604,0.242,0.1415,0.179
2758,1.0,0.52,0.395,0.18,0.64,0.158,0.11,0.245
2816,1.0,0.67,0.55,0.17,1.247,0.472,0.2455,0.4
2819,1.0,0.5,0.38,0.155,0.655,0.2405,0.14300000000000002,0.205
2828,1.0,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33
2836,1.0,0.645,0.5,0.19,1.5595,0.741,0.3715,0.3845
2856,1.0,0.515,0.405,0.14,0.8505,0.312,0.146,0.315
2887,1.0,0.46,0.355,0.13,0.458,0.192,0.1055,0.13
2892,1.0,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495
2911,1.0,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462
2914,1.0,0.585,0.475,0.12,0.945,0.41,0.2115,0.28
2972,1.0,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465
3024,1.0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15
3043,1.0,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295
3058,1.0,0.7,0.545,0.13,1.556,0.6725,0.374,0.195
3070,1.0,0.515,0.42,0.135,0.711,0.337,0.14400000000000002,0.205
3077,1.0,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
3079,1.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
3082,1.0,0.505,0.425,0.14,0.85,0.275,0.1625,0.285
3104,1.0,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455
3179,1.0,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085
3246,1.0,0.525,0.41,0.175,0.8740000000000001,0.3585,0.207,0.205
3281,1.0,0.52,0.39,0.14,0.7325,0.2415,0.14400000000000002,0.26
3283,1.0,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
3298,1.0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
3300,1.0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
3304,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
3314,1.0,0.57,0.45,0.17,1.098,0.414,0.187,0.405
3373,1.0,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308
3374,1.0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
3387,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
3391,1.0,0.435,0.35,0.11,0.384,0.14300000000000002,0.1005,0.125
3423,1.0,0.6,0.475,0.18,1.162,0.511,0.2675,0.32
3429,1.0,0.575,0.455,0.145,1.165,0.581,0.2275,0.3
3469,1.0,0.525,0.43,0.165,0.8645,0.376,0.1945,0.2515
3514,1.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
3537,1.0,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331
3538,1.0,0.505,0.385,0.145,0.6775,0.236,0.179,0.2
3540,1.0,0.625,0.505,0.215,1.4455,0.496,0.287,0.435
3543,1.0,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27
3561,1.0,0.555,0.435,0.135,0.858,0.377,0.1585,0.29
3566,1.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
3598,1.0,0.61,0.49,0.15,1.103,0.425,0.2025,0.36
3610,1.0,0.48,0.385,0.135,0.536,0.1895,0.142,0.173
3630,1.0,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345
3647,1.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375
3650,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434
3654,1.0,0.465,0.36,0.105,0.498,0.214,0.116,0.14
3665,1.0,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11
3700,1.0,0.465,0.355,0.125,0.5255,0.2025,0.135,0.145
3702,1.0,0.695,0.57,0.23,1.885,0.8665,0.435,0.5
3703,1.0,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26
3711,1.0,0.56,0.44,0.14,0.971,0.443,0.2045,0.265
3731,1.0,0.69,0.515,0.18,1.8445,0.9815,0.4655,0.341
3736,1.0,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615
