,Constant,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
323,1.0,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125
334,1.0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03
355,1.0,0.56,0.415,0.145,0.852,0.43,0.1885,0.205
357,1.0,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315
359,1.0,0.42,0.305,0.1,0.3415,0.1645,0.0775,0.086
365,1.0,0.38,0.29,0.085,0.2285,0.08800000000000001,0.0465,0.075
381,1.0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11
383,1.0,0.61,0.495,0.16,1.089,0.469,0.198,0.384
396,1.0,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105
399,1.0,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43
417,1.0,0.21,0.15,0.055,0.0465,0.017,0.012,0.015
419,1.0,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17
422,1.0,0.585,0.48,0.185,1.04,0.434,0.265,0.285
424,1.0,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
429,1.0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
435,1.0,0.67,0.54,0.195,1.217,0.532,0.2735,0.3315
438,1.0,0.53,0.425,0.13,0.7455,0.2995,0.1355,0.245
440,1.0,0.515,0.42,0.135,0.6295,0.2815,0.127,0.215
449,1.0,0.71,0.55,0.17,1.614,0.743,0.345,0.45
450,1.0,0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165
477,1.0,0.6,0.5,0.16,1.122,0.5095,0.256,0.309
490,1.0,0.425,0.31,0.095,0.3075,0.139,0.0745,0.093
493,1.0,0.635,0.505,0.165,1.251,0.5770000000000001,0.227,0.3825
501,1.0,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
503,1.0,0.505,0.405,0.16,0.6835,0.271,0.145,0.215
507,1.0,0.615,0.475,0.155,1.004,0.4475,0.193,0.2895
524,1.0,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07
528,1.0,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515
539,1.0,0.58,0.45,0.17,0.9705,0.4615,0.232,0.248
546,1.0,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785
553,1.0,0.62,0.5,0.2,1.221,0.4605,0.263,0.43
561,1.0,0.23,0.18,0.05,0.064,0.0215,0.0135,0.02
567,1.0,0.615,0.475,0.175,1.224,0.6035,0.261,0.311
576,1.0,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875
579,1.0,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225
590,1.0,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28
595,1.0,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081
597,1.0,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09
604,1.0,0.575,0.445,0.16,0.8390000000000001,0.4005,0.198,0.239
611,1.0,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
612,1.0,0.31,0.225,0.075,0.155,0.065,0.037000000000000005,0.0365
613,1.0,0.375,0.27,0.135,0.597,0.272,0.131,0.1675
615,1.0,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
621,1.0,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039
624,1.0,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27
657,1.0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214
661,1.0,0.605,0.45,0.165,1.2225,0.35700000000000004,0.202,0.385
662,1.0,0.32,0.24,0.08,0.18,0.08,0.0385,0.055
666,1.0,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.08900000000000001
673,1.0,0.66,0.505,0.185,1.528,0.69,0.3025,0.441
678,1.0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
680,1.0,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745
706,1.0,0.58,0.475,0.155,0.974,0.4305,0.23,0.285
711,1.0,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196
732,1.0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
734,1.0,0.515,0.395,0.125,0.5805,0.2365,0.1075,0.19
737,1.0,0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675
745,1.0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07
746,1.0,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155
750,1.0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185
751,1.0,0.63,0.515,0.155,1.259,0.4105,0.197,0.41
767,1.0,0.525,0.4,0.13,0.622,0.2655,0.147,0.184
772,1.0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
780,1.0,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765
783,1.0,0.565,0.445,0.145,0.9255,0.4345,0.212,0.2475
787,1.0,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325
792,1.0,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615
793,1.0,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134
813,1.0,0.415,0.325,0.1,0.4665,0.2285,0.1065,0.114
819,1.0,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254
823,1.0,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495
826,1.0,0.59,0.455,0.155,0.8855,0.388,0.188,0.275
837,1.0,0.54,0.395,0.135,0.6555,0.2705,0.155,0.192
849,1.0,0.425,0.34,0.1,0.371,0.15,0.0865,0.115
853,1.0,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231
858,1.0,0.6,0.475,0.17,1.1315,0.508,0.272,0.309
864,1.0,0.71,0.56,0.18,1.652,0.735,0.381,0.4525
865,1.0,0.16,0.11,0.025,0.0195,0.0075,0.005,0.006
874,1.0,0.54,0.415,0.17,0.879,0.339,0.208,0.255
885,1.0,0.78,0.6,0.21,2.548,1.1945,0.5745,0.6745
887,1.0,0.295,0.215,0.085,0.128,0.049,0.034,0.04
893,1.0,0.66,0.53,0.175,1.5830000000000002,0.7395,0.3505,0.405
909,1.0,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066
919,1.0,0.595,0.465,0.125,0.799,0.3245,0.2,0.23
927,1.0,0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845
929,1.0,0.69,0.55,0.195,1.777,0.769,0.38,0.4305
930,1.0,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213
937,1.0,0.37,0.275,0.1,0.22,0.094,0.045,0.065
942,1.0,0.38,0.285,0.09,0.2305,0.1005,0.039,0.0775
945,1.0,0.65,0.515,0.18,1.463,0.6579999999999999,0.3135,0.4115
946,1.0,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035
949,1.0,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285
959,1.0,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07
961,1.0,0.72,0.57,0.2,1.8275,0.919,0.366,0.485
991,1.0,0.47,0.37,0.11,0.5555,0.25,0.115,0.163
992,1.0,0.29,0.21,0.065,0.097,0.0375,0.022,0.03
994,1.0,0.425,0.325,0.11,0.317,0.135,0.048,0.09
998,1.0,0.565,0.435,0.145,0.8445,0.3975,0.158,0.255
1000,1.0,0.615,0.475,0.17,1.129,0.4795,0.302,0.3
1004,1.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
1007,1.0,0.405,0.3,0.11,0.32,0.172,0.044,0.093
1015,1.0,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
1016,1.0,0.35,0.265,0.09,0.197,0.073,0.0365,0.077
1020,1.0,0.165,0.115,0.015,0.0145,0.0055,0.003,0.005
1023,1.0,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09
1030,1.0,0.375,0.285,0.09,0.257,0.1045,0.062,0.075
1032,1.0,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095
1038,1.0,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745
1070,1.0,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635
1077,1.0,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2
1081,1.0,0.67,0.525,0.19,1.527,0.5755,0.353,0.44
1090,1.0,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185
1095,1.0,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235
1118,1.0,0.53,0.41,0.145,0.8255,0.375,0.204,0.245
1121,1.0,0.625,0.49,0.145,0.92,0.4370000000000001,0.1735,0.28
1124,1.0,0.57,0.48,0.175,1.185,0.474,0.261,0.38
1133,1.0,0.64,0.505,0.19,1.2765,0.4835,0.328,0.4
1136,1.0,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135
1154,1.0,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095
1173,1.0,0.47,0.35,0.115,0.487,0.1955,0.127,0.155
1179,1.0,0.55,0.385,0.13,0.7275,0.343,0.1625,0.19
1187,1.0,0.51,0.4,0.145,0.5775,0.231,0.14300000000000002,0.177
1209,1.0,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25
1210,1.0,0.6,0.475,0.23,1.157,0.522,0.2235,0.36
1215,1.0,0.52,0.42,0.16,0.745,0.255,0.157,0.2885
1241,1.0,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665
1247,1.0,0.44,0.34,0.1,0.407,0.209,0.0735,0.103
1263,1.0,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04
1297,1.0,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22
1299,1.0,0.47,0.355,0.12,0.393,0.16699999999999998,0.0885,0.115
1303,1.0,0.62,0.485,0.175,1.271,0.531,0.3075,0.37
1311,1.0,0.59,0.47,0.18,1.187,0.5985,0.227,0.31
1320,1.0,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065
1321,1.0,0.505,0.39,0.115,0.66,0.3045,0.1555,0.175
1323,1.0,0.565,0.45,0.165,0.9765,0.322,0.244,0.37
1328,1.0,0.395,0.29,0.095,0.319,0.138,0.08,0.08199999999999999
1329,1.0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02
1337,1.0,0.325,0.25,0.075,0.1585,0.075,0.0305,0.0455
1340,1.0,0.565,0.455,0.13,1.058,0.439,0.2645,0.3
1360,1.0,0.6,0.475,0.15,1.13,0.575,0.196,0.305
1372,1.0,0.555,0.44,0.14,0.846,0.34600000000000003,0.1715,0.2735
1375,1.0,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897
1376,1.0,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755
1377,1.0,0.57,0.44,0.145,0.8815,0.3605,0.1955,0.2735
1381,1.0,0.45,0.355,0.11,0.4585,0.194,0.067,0.14
1385,1.0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
1387,1.0,0.41,0.335,0.115,0.4405,0.19,0.085,0.135
1392,1.0,0.275,0.205,0.08,0.096,0.036000000000000004,0.0185,0.03
1403,1.0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
1406,1.0,0.375,0.27,0.085,0.218,0.0945,0.039,0.07
1409,1.0,0.515,0.415,0.135,0.7125,0.285,0.152,0.245
1412,1.0,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17
1425,1.0,0.21,0.17,0.045,0.0475,0.019,0.011,0.013
1436,1.0,0.62,0.475,0.195,1.3585,0.5935,0.3365,0.3745
1439,1.0,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998
1442,1.0,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01
1447,1.0,0.675,0.555,0.205,1.925,0.713,0.358,0.4535
1452,1.0,0.605,0.48,0.15,1.079,0.4505,0.2835,0.293
1454,1.0,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425
1459,1.0,0.545,0.41,0.115,0.6765,0.29,0.158,0.22
1461,1.0,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625
1464,1.0,0.65,0.525,0.19,1.3685,0.5975,0.29600000000000004,0.4
1466,1.0,0.76,0.575,0.19,1.829,0.7035,0.386,0.56
1475,1.0,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265
1483,1.0,0.43,0.325,0.12,0.445,0.165,0.0995,0.155
1489,1.0,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185
1490,1.0,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6
1491,1.0,0.58,0.455,0.17,0.93,0.408,0.259,0.22
1515,1.0,0.615,0.485,0.215,0.9615,0.422,0.17600000000000002,0.29
1516,1.0,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305
1542,1.0,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465
1549,1.0,0.505,0.405,0.14,0.875,0.2665,0.174,0.285
1555,1.0,0.675,0.52,0.145,1.3645,0.557,0.3405,0.385
1559,1.0,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365
1560,1.0,0.44,0.33,0.115,0.4005,0.14300000000000002,0.113,0.12
1563,1.0,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251
1567,1.0,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038
1588,1.0,0.245,0.175,0.055,0.0785,0.04,0.018000000000000002,0.02
1600,1.0,0.52,0.41,0.16,0.7120000000000001,0.2845,0.153,0.225
1601,1.0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
1615,1.0,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02
1618,1.0,0.65,0.495,0.175,1.227,0.528,0.258,0.37
1619,1.0,0.39,0.315,0.09,0.3095,0.147,0.05,0.09
1628,1.0,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041
1629,1.0,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12
1632,1.0,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645
1633,1.0,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3
1640,1.0,0.46,0.365,0.125,0.4785,0.206,0.1045,0.141
1641,1.0,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
1644,1.0,0.625,0.5,0.185,1.2425,0.5995,0.248,0.335
1658,1.0,0.575,0.48,0.17,1.1,0.506,0.2485,0.31
1663,1.0,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3
1669,1.0,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4
1676,1.0,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545
1678,1.0,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215
1694,1.0,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06
1705,1.0,0.48,0.365,0.13,0.5305,0.2405,0.127,0.139
1709,1.0,0.48,0.355,0.115,0.4725,0.2065,0.112,0.132
1713,1.0,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345
1727,1.0,0.275,0.22,0.08,0.1365,0.0565,0.0285,0.042
1729,1.0,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025
1739,1.0,0.6,0.475,0.155,1.0590000000000002,0.441,0.19,0.39
1746,1.0,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265
1758,1.0,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455
1764,1.0,0.575,0.47,0.165,0.8690000000000001,0.435,0.197,0.238
1771,1.0,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245
1773,1.0,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1
1774,1.0,0.325,0.24,0.075,0.187,0.0825,0.0445,0.05
1796,1.0,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485
1801,1.0,0.475,0.385,0.12,0.562,0.289,0.0905,0.153
1807,1.0,0.61,0.47,0.195,1.2735,0.469,0.3315,0.398
1819,1.0,0.415,0.305,0.12,0.336,0.165,0.076,0.0805
1823,1.0,0.445,0.33,0.11,0.358,0.1525,0.067,0.1185
1828,1.0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08
1830,1.0,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425
1832,1.0,0.51,0.41,0.145,0.7959999999999999,0.3865,0.1815,0.1955
1836,1.0,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49
1837,1.0,0.57,0.425,0.14,0.7655,0.331,0.14,0.24
1838,1.0,0.57,0.44,0.12,0.8029999999999999,0.382,0.1525,0.234
1843,1.0,0.515,0.385,0.11,0.5785,0.253,0.16,0.14
1844,1.0,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315
1846,1.0,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415
1847,1.0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2
1853,1.0,0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245
1862,1.0,0.42,0.34,0.115,0.4215,0.175,0.093,0.135
1876,1.0,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512
1878,1.0,0.355,0.275,0.09,0.251,0.097,0.053,0.08
1879,1.0,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03
1888,1.0,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545
1893,1.0,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075
1901,1.0,0.64,0.585,0.195,1.6469999999999998,0.7225,0.331,0.471
1922,1.0,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255
1929,1.0,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275
1943,1.0,0.67,0.54,0.195,1.619,0.74,0.3305,0.465
1948,1.0,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165
1952,1.0,0.435,0.325,0.105,0.335,0.136,0.065,0.115
1954,1.0,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205
1966,1.0,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09
1975,1.0,0.51,0.41,0.155,1.2825,0.569,0.29100000000000004,0.3795
1977,1.0,0.635,0.51,0.185,1.286,0.526,0.295,0.4105
1983,1.0,0.2,0.14,0.055,0.035,0.0145,0.008,0.01
1989,1.0,0.55,0.44,0.135,0.879,0.368,0.2095,0.265
1995,1.0,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24
1998,1.0,0.75,0.55,0.195,1.8325,0.83,0.366,0.44
2005,1.0,0.575,0.47,0.155,1.116,0.509,0.238,0.34
2009,1.0,0.6,0.47,0.165,1.0590000000000002,0.504,0.241,0.275
2010,1.0,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875
2014,1.0,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035
2035,1.0,0.55,0.435,0.14,0.7995,0.295,0.1905,0.238
2038,1.0,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315
2045,1.0,0.41,0.31,0.09,0.339,0.155,0.0695,0.09
2048,1.0,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195
2054,1.0,0.49,0.355,0.155,0.981,0.465,0.2015,0.2505
2058,1.0,0.4,0.3,0.09,0.2815,0.1185,0.061,0.08
2063,1.0,0.435,0.335,0.11,0.411,0.2025,0.0945,0.1
2064,1.0,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175
2070,1.0,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795
2078,1.0,0.475,0.36,0.125,0.4905,0.205,0.1305,0.125
2079,1.0,0.445,0.32,0.12,0.378,0.152,0.0825,0.12
2080,1.0,0.525,0.4,0.145,0.6095,0.248,0.159,0.175
2086,1.0,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08
2088,1.0,0.595,0.48,0.185,1.1785,0.526,0.2975,0.314
2091,1.0,0.57,0.435,0.17,0.873,0.382,0.183,0.2705
2101,1.0,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215
2103,1.0,0.46,0.36,0.14,0.447,0.161,0.087,0.16
2106,1.0,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635
2123,1.0,0.46,0.355,0.11,0.436,0.1975,0.096,0.125
2125,1.0,0.32,0.215,0.095,0.305,0.14,0.067,0.0885
2127,1.0,0.335,0.265,0.105,0.222,0.0935,0.056,0.075
2136,1.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
2158,1.0,0.575,0.445,0.14,0.737,0.325,0.1405,0.237
2163,1.0,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146
2183,1.0,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081
2189,1.0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
2210,1.0,0.585,0.43,0.16,0.955,0.3625,0.17600000000000002,0.27
2212,1.0,0.49,0.38,0.14,0.7605,0.245,0.16699999999999998,0.185
2213,1.0,0.59,0.485,0.205,1.2315,0.4525,0.238,0.42
2220,1.0,0.515,0.39,0.12,0.565,0.235,0.135,0.179
2223,1.0,0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255
2227,1.0,0.455,0.35,0.11,0.458,0.2,0.111,0.1305
2231,1.0,0.39,0.29,0.09,0.2625,0.117,0.054000000000000006,0.077
2232,1.0,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05
2235,1.0,0.63,0.515,0.16,1.336,0.5529999999999999,0.3205,0.35
2239,1.0,0.65,0.59,0.22,1.662,0.77,0.378,0.435
2243,1.0,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126
2249,1.0,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785
2254,1.0,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16
2257,1.0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
2258,1.0,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161
2263,1.0,0.38,0.3,0.1,0.28600000000000003,0.1305,0.056,0.09
2277,1.0,0.635,0.495,0.195,1.297,0.556,0.2985,0.37
2279,1.0,0.44,0.34,0.105,0.344,0.123,0.081,0.125
2282,1.0,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22
2290,1.0,0.605,0.475,0.175,1.2009999999999998,0.5395,0.275,0.309
2295,1.0,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14
2296,1.0,0.585,0.49,0.185,1.171,0.522,0.2535,0.335
2303,1.0,0.645,0.505,0.165,1.318,0.55,0.3015,0.335
2304,1.0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48
2307,1.0,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49
2318,1.0,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975
2321,1.0,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015
2322,1.0,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058
2324,1.0,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
2326,1.0,0.6,0.5,0.17,1.13,0.4405,0.267,0.335
2331,1.0,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065
2341,1.0,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155
2342,1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
2344,1.0,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265
2349,1.0,0.53,0.435,0.155,0.6990000000000001,0.28800000000000003,0.1595,0.205
2356,1.0,0.295,0.22,0.07,0.126,0.0515,0.0275,0.035
2358,1.0,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501
2363,1.0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131
2372,1.0,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185
2377,1.0,0.465,0.345,0.11,0.393,0.1825,0.0735,0.12
2381,1.0,0.57,0.465,0.155,0.9685,0.446,0.261,0.255
2393,1.0,0.58,0.45,0.235,1.071,0.3,0.206,0.395
2396,1.0,0.375,0.28,0.085,0.2145,0.0855,0.0485,0.07200000000000001
2416,1.0,0.365,0.275,0.085,0.223,0.098,0.0375,0.075
2419,1.0,0.35,0.265,0.09,0.1855,0.0745,0.0415,0.06
2430,1.0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725
2433,1.0,0.17,0.105,0.035,0.034,0.012,0.0085,0.005
2440,1.0,0.3,0.23,0.075,0.127,0.052000000000000005,0.03,0.0345
2441,1.0,0.62,0.51,0.18,1.3315,0.594,0.276,0.388
2447,1.0,0.58,0.47,0.165,1.041,0.54,0.166,0.279
2454,1.0,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125
2466,1.0,0.68,0.51,0.2,1.6075,0.7140000000000001,0.339,0.4705
