female,infant,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei,rings
0.0,1.0,0.0,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4.0
0.0,1.0,0.0,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7.0
0.0,1.0,0.0,0.135,0.13,0.04,0.028999999999999998,0.0125,0.0065,0.008,4.0
1.0,0.0,0.0,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15.0
0.0,0.0,1.0,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8.0
1.0,0.0,0.0,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11.0
1.0,0.0,0.0,0.545,0.43,0.16,0.8440000000000001,0.3945,0.1855,0.231,9.0
0.0,1.0,0.0,0.56,0.44,0.155,0.8109999999999999,0.3685,0.17800000000000002,0.235,11.0
0.0,0.0,1.0,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17.0
1.0,0.0,0.0,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21.0
0.0,1.0,0.0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6.0
1.0,0.0,0.0,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12.0
1.0,0.0,0.0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13.0
0.0,0.0,1.0,0.645,0.51,0.19,1.4745,0.605,0.345,0.48,9.0
0.0,1.0,0.0,0.405,0.3,0.085,0.3035,0.15,0.0505,0.08800000000000001,7.0
0.0,1.0,0.0,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9.0
0.0,0.0,1.0,0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5.0
0.0,1.0,0.0,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7.0
0.0,0.0,1.0,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9.0
1.0,0.0,0.0,0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35,11.0
0.0,0.0,1.0,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7.0
1.0,0.0,0.0,0.625,0.525,0.195,1.3519999999999999,0.4505,0.2445,0.53,13.0
1.0,0.0,0.0,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,18.0
0.0,1.0,0.0,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6.0
1.0,0.0,0.0,0.72,0.575,0.215,2.226,0.8955,0.405,0.62,13.0
0.0,0.0,1.0,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10.0
0.0,0.0,1.0,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17.0
0.0,0.0,1.0,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8.0
0.0,0.0,1.0,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15.0
0.0,1.0,0.0,0.36,0.265,0.09,0.2055,0.096,0.037000000000000005,0.0585,7.0
0.0,1.0,0.0,0.41,0.315,0.095,0.2805,0.114,0.0345,0.11,7.0
0.0,1.0,0.0,0.355,0.27,0.1,0.2255,0.11,0.042,0.064,7.0
1.0,0.0,0.0,0.645,0.52,0.18,1.285,0.5775,0.35200000000000004,0.317,9.0
0.0,1.0,0.0,0.285,0.21,0.07,0.109,0.044000000000000004,0.0265,0.033,5.0
0.0,0.0,1.0,0.68,0.52,0.165,1.4775,0.7240000000000001,0.27899999999999997,0.406,11.0
1.0,0.0,0.0,0.47,0.355,0.18,0.441,0.1525,0.1165,0.135,8.0
0.0,0.0,1.0,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11.0
0.0,0.0,1.0,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10.0
0.0,0.0,1.0,0.6,0.45,0.16,1.1420000000000001,0.539,0.225,0.307,10.0
0.0,0.0,1.0,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15.0
0.0,1.0,0.0,0.435,0.3,0.12,0.5965,0.259,0.139,0.1645,8.0
0.0,0.0,1.0,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11.0
0.0,0.0,1.0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16.0
0.0,0.0,1.0,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13.0
0.0,0.0,1.0,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10.0
0.0,1.0,0.0,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9.0
1.0,0.0,0.0,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9.0
1.0,0.0,0.0,0.64,0.5,0.165,1.1635,0.5539999999999999,0.239,0.32,11.0
0.0,1.0,0.0,0.45,0.335,0.105,0.447,0.2335,0.153,0.11900000000000001,7.0
1.0,0.0,0.0,0.62,0.47,0.14,1.0325,0.3605,0.22399999999999998,0.36,15.0
0.0,1.0,0.0,0.27,0.195,0.065,0.1065,0.0475,0.0225,0.0285,5.0
0.0,0.0,1.0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13.0
1.0,0.0,0.0,0.5,0.4,0.145,0.63,0.23399999999999999,0.1465,0.23,12.0
0.0,0.0,1.0,0.555,0.455,0.135,0.8370000000000001,0.382,0.171,0.235,9.0
1.0,0.0,0.0,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,18.0
0.0,1.0,0.0,0.415,0.31,0.095,0.34,0.18100000000000002,0.057,0.083,6.0
1.0,0.0,0.0,0.435,0.35,0.105,0.4195,0.19399999999999998,0.1005,0.13,7.0
0.0,1.0,0.0,0.41,0.325,0.11,0.326,0.1325,0.075,0.10099999999999999,8.0
0.0,0.0,1.0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7.0
1.0,0.0,0.0,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52,15.0
0.0,1.0,0.0,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109,8.0
0.0,0.0,1.0,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11.0
0.0,0.0,1.0,0.63,0.48,0.185,1.21,0.53,0.2555,0.322,11.0
0.0,0.0,1.0,0.57,0.44,0.095,0.8270000000000001,0.3395,0.2215,0.235,8.0
0.0,1.0,0.0,0.2,0.145,0.025,0.0345,0.011000000000000001,0.0075,0.01,5.0
0.0,0.0,1.0,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11.0
0.0,1.0,0.0,0.535,0.42,0.145,0.9259999999999999,0.39799999999999996,0.1965,0.25,17.0
0.0,1.0,0.0,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7.0
1.0,0.0,0.0,0.72,0.545,0.185,1.7185,0.7925,0.401,0.46799999999999997,11.0
0.0,0.0,1.0,0.68,0.54,0.155,1.534,0.6709999999999999,0.379,0.384,10.0
0.0,1.0,0.0,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001,4.0
0.0,1.0,0.0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6.0
0.0,0.0,1.0,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9.0
0.0,1.0,0.0,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10.0
0.0,1.0,0.0,0.295,0.22,0.065,0.1295,0.052000000000000005,0.027999999999999997,0.035,6.0
0.0,1.0,0.0,0.485,0.375,0.13,0.5535,0.266,0.11199999999999999,0.157,8.0
0.0,1.0,0.0,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255,11.0
0.0,0.0,1.0,0.505,0.39,0.12,0.653,0.3315,0.1385,0.16699999999999998,9.0
0.0,0.0,1.0,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9.0
0.0,0.0,1.0,0.49,0.38,0.11,0.5539999999999999,0.2935,0.1005,0.15,8.0
0.0,1.0,0.0,0.44,0.32,0.095,0.3275,0.1495,0.059000000000000004,0.1,8.0
1.0,0.0,0.0,0.62,0.48,0.23,1.0935,0.40299999999999997,0.245,0.355,14.0
1.0,0.0,0.0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9.0
0.0,1.0,0.0,0.375,0.29,0.1,0.21899999999999997,0.0925,0.038,0.075,6.0
0.0,0.0,1.0,0.6,0.475,0.19,1.0875,0.40299999999999997,0.2655,0.325,14.0
1.0,0.0,0.0,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225,10.0
1.0,0.0,0.0,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12.0
0.0,0.0,1.0,0.625,0.48,0.18,1.2229999999999999,0.565,0.2975,0.3375,10.0
0.0,0.0,1.0,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10.0
0.0,0.0,1.0,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12.0
1.0,0.0,0.0,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10.0
0.0,0.0,1.0,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9.0
0.0,0.0,1.0,0.585,0.455,0.155,1.133,0.5515,0.223,0.305,12.0
0.0,0.0,1.0,0.485,0.39,0.085,0.6435,0.2945,0.10300000000000001,0.198,8.0
0.0,0.0,1.0,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19.0
0.0,0.0,1.0,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9.0
0.0,1.0,0.0,0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8.0
0.0,0.0,1.0,0.655,0.545,0.19,1.4245,0.6325,0.33299999999999996,0.37799999999999995,10.0
1.0,0.0,0.0,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11.0
1.0,0.0,0.0,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265,10.0
1.0,0.0,0.0,0.595,0.47,0.165,1.0155,0.491,0.1905,0.289,9.0
1.0,0.0,0.0,0.62,0.505,0.16,1.3725,0.6285,0.275,0.3685,11.0
0.0,0.0,1.0,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17.0
1.0,0.0,0.0,0.655,0.5,0.205,1.528,0.6215,0.3725,0.4535,11.0
0.0,0.0,1.0,0.65,0.515,0.125,1.1805,0.5235,0.28300000000000003,0.3275,9.0
0.0,0.0,1.0,0.59,0.46,0.145,0.929,0.38,0.24,0.255,10.0
0.0,1.0,0.0,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7.0
0.0,1.0,0.0,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11.0
1.0,0.0,0.0,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9.0
0.0,1.0,0.0,0.46,0.35,0.11,0.4,0.17600000000000002,0.083,0.1205,7.0
0.0,1.0,0.0,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9.0
0.0,0.0,1.0,0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8.0
0.0,0.0,1.0,0.645,0.5,0.175,1.286,0.5645,0.28800000000000003,0.386,12.0
0.0,0.0,1.0,0.465,0.36,0.115,0.5795,0.295,0.1395,0.12,7.0
0.0,0.0,1.0,0.63,0.455,0.15,1.1315,0.48100000000000004,0.2745,0.305,9.0
0.0,0.0,1.0,0.61,0.475,0.155,1.168,0.5539999999999999,0.239,0.3295,10.0
0.0,1.0,0.0,0.535,0.45,0.135,0.728,0.2845,0.1845,0.265,9.0
1.0,0.0,0.0,0.63,0.49,0.225,1.3359999999999999,0.6805,0.259,0.3245,10.0
0.0,0.0,1.0,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9.0
1.0,0.0,0.0,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11.0
0.0,0.0,1.0,0.59,0.465,0.135,0.9895,0.4235,0.19899999999999998,0.28,8.0
0.0,0.0,1.0,0.635,0.515,0.17,1.275,0.509,0.28600000000000003,0.34,16.0
0.0,0.0,1.0,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22.0
0.0,0.0,1.0,0.65,0.495,0.18,1.7930000000000001,0.8005,0.33899999999999997,0.53,14.0
1.0,0.0,0.0,0.73,0.575,0.185,1.8795,0.9309999999999999,0.38,0.4825,12.0
1.0,0.0,0.0,0.485,0.37,0.115,0.4785,0.1995,0.0955,0.129,7.0
0.0,1.0,0.0,0.515,0.39,0.125,0.5705,0.23800000000000002,0.1265,0.185,8.0
0.0,1.0,0.0,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7.0
1.0,0.0,0.0,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6.0
0.0,1.0,0.0,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9.0
0.0,0.0,1.0,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9.0
0.0,1.0,0.0,0.41,0.325,0.105,0.361,0.1605,0.0665,0.10300000000000001,8.0
0.0,0.0,1.0,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125,8.0
1.0,0.0,0.0,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9.0
1.0,0.0,0.0,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8.0
0.0,1.0,0.0,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4.0
0.0,1.0,0.0,0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9.0
0.0,0.0,1.0,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10.0
0.0,1.0,0.0,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7.0
1.0,0.0,0.0,0.645,0.52,0.19,1.3105,0.58,0.28800000000000003,0.37,12.0
1.0,0.0,0.0,0.7,0.525,0.19,1.6015,0.7070000000000001,0.365,0.43,10.0
1.0,0.0,0.0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12.0
0.0,1.0,0.0,0.41,0.33,0.105,0.335,0.1525,0.07400000000000001,0.11,7.0
0.0,0.0,1.0,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12.0
0.0,0.0,1.0,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8.0
0.0,1.0,0.0,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7.0
1.0,0.0,0.0,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9.0
0.0,1.0,0.0,0.555,0.425,0.13,0.648,0.2835,0.133,0.2105,8.0
0.0,1.0,0.0,0.35,0.28,0.075,0.196,0.08199999999999999,0.04,0.064,8.0
0.0,0.0,1.0,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19.0
0.0,1.0,0.0,0.37,0.275,0.08,0.2325,0.09300000000000001,0.055999999999999994,0.07200000000000001,6.0
0.0,1.0,0.0,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5.0
0.0,0.0,1.0,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9.0
1.0,0.0,0.0,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9.0
0.0,1.0,0.0,0.31,0.24,0.105,0.2885,0.11800000000000001,0.065,0.083,6.0
0.0,1.0,0.0,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7.0
0.0,0.0,1.0,0.655,0.51,0.215,1.7835,0.8885,0.4095,0.4195,11.0
1.0,0.0,0.0,0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,8.0
0.0,1.0,0.0,0.5,0.385,0.12,0.56,0.2835,0.10300000000000001,0.135,8.0
1.0,0.0,0.0,0.57,0.465,0.18,0.9995,0.405,0.27699999999999997,0.295,16.0
0.0,1.0,0.0,0.335,0.25,0.075,0.18600000000000003,0.0945,0.038,0.0445,7.0
0.0,1.0,0.0,0.57,0.43,0.145,0.833,0.354,0.14400000000000002,0.2815,10.0
0.0,1.0,0.0,0.485,0.355,0.13,0.581,0.245,0.132,0.168,12.0
0.0,0.0,1.0,0.61,0.48,0.15,1.1495,0.564,0.27399999999999997,0.264,8.0
0.0,0.0,1.0,0.61,0.5,0.165,1.2715,0.4915,0.185,0.49,12.0
0.0,0.0,1.0,0.695,0.57,0.2,2.033,0.7509999999999999,0.4255,0.685,15.0
1.0,0.0,0.0,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71,24.0
1.0,0.0,0.0,0.545,0.44,0.175,0.7745,0.2985,0.1875,0.265,11.0
0.0,0.0,1.0,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9.0
0.0,0.0,1.0,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8.0
0.0,0.0,1.0,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7.0
1.0,0.0,0.0,0.61,0.47,0.16,1.0745,0.4925,0.23600000000000002,0.29,8.0
0.0,1.0,0.0,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5.0
0.0,1.0,0.0,0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,9.0
0.0,0.0,1.0,0.565,0.435,0.185,0.9815,0.32899999999999996,0.136,0.39,13.0
1.0,0.0,0.0,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17.0
0.0,0.0,1.0,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10.0
0.0,1.0,0.0,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9.0
0.0,0.0,1.0,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8.0
0.0,1.0,0.0,0.37,0.275,0.085,0.2045,0.096,0.055999999999999994,0.08,6.0
0.0,1.0,0.0,0.465,0.345,0.11,0.39299999999999996,0.1825,0.0735,0.12,8.0
1.0,0.0,0.0,0.49,0.385,0.16,0.6559999999999999,0.2455,0.171,0.205,9.0
1.0,0.0,0.0,0.58,0.475,0.135,0.925,0.391,0.165,0.275,14.0
0.0,0.0,1.0,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12.0
0.0,1.0,0.0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6.0
0.0,1.0,0.0,0.38,0.3,0.09,0.27699999999999997,0.1655,0.0625,0.08199999999999999,6.0
0.0,1.0,0.0,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5.0
1.0,0.0,0.0,0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4,12.0
1.0,0.0,0.0,0.6,0.48,0.15,1.0290000000000001,0.4085,0.2705,0.295,16.0
0.0,1.0,0.0,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15,8.0
0.0,1.0,0.0,0.465,0.36,0.105,0.498,0.214,0.11599999999999999,0.14,15.0
0.0,1.0,0.0,0.425,0.32,0.085,0.262,0.1235,0.067,0.0725,8.0
0.0,1.0,0.0,0.43,0.325,0.105,0.309,0.11900000000000001,0.08,0.098,6.0
1.0,0.0,0.0,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,9.0
0.0,0.0,1.0,0.46,0.345,0.11,0.4595,0.235,0.0885,0.11599999999999999,7.0
0.0,0.0,1.0,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10.0
