Constant,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
1.0,0.62,0.21,0.18,0.11599999999999999,4.3999999999999995,0.61,0.155,9.9655,0.314,0.52,0.094
1.0,0.5700000000000001,0.36,0.34,0.042,2.6,0.21,0.077,9.907,0.341,0.45,0.11900000000000001
1.0,0.61,0.27,0.31,0.015,3.5000000000000004,0.17,0.083,9.9076,0.33199999999999996,0.44,0.111
1.0,0.78,0.3,0.36,0.046,2.4,0.2,0.198,9.9222,0.306,0.66,0.11900000000000001
1.0,0.65,0.23,0.36,0.163,3.8,0.43,0.133,9.9924,0.32599999999999996,0.41,0.08800000000000001
1.0,0.6799999999999999,0.31,0.25,0.105,4.3,0.3,0.165,9.972,0.33599999999999997,0.55,0.10550000000000001
1.0,0.61,0.55,0.15,0.098,3.1,0.19,0.125,9.957,0.33599999999999997,0.47,0.102
1.0,0.73,0.22,0.4,0.1475,4.2,0.445,0.1295,9.998000000000001,0.33599999999999997,0.41,0.091
1.0,0.8400000000000001,0.2,0.31,0.027999999999999997,5.4,0.16,0.089,9.941600000000001,0.296,0.45,0.095
1.0,0.78,0.3,0.29,0.1685,5.4,0.23,0.135,9.998000000000001,0.316,0.38,0.09
1.0,0.82,0.26,0.33,0.026000000000000002,5.3,0.11,0.071,9.9402,0.28900000000000003,0.49,0.095
1.0,0.75,0.17,0.37,0.015,6.0,0.18,0.075,9.936,0.354,0.88,0.107
1.0,0.9,0.26,0.34,0.067,2.9000000000000004,0.21,0.162,9.9497,0.308,0.5,0.106
1.0,0.8,0.36,0.39,0.016,2.4,0.26,0.093,9.9116,0.315,0.49,0.11900000000000001
1.0,0.82,0.31,0.43,0.07,4.7,0.18,0.087,9.962800000000001,0.323,0.64,0.106
1.0,0.71,0.37,0.3,0.062,4.0,0.49,0.139,9.9021,0.317,0.27,0.136
1.0,0.6599999999999999,0.22,0.29,0.14400000000000002,4.6,0.39,0.118,9.9834,0.305,0.5,0.091
1.0,0.6799999999999999,0.21,0.62,0.064,4.1000000000000005,0.07,0.113,9.9358,0.296,0.59,0.102
1.0,0.55,0.62,0.33,0.017,3.7000000000000006,0.24,0.118,9.8758,0.315,0.39,0.1355
1.0,0.99,1.005,0.46,0.013999999999999999,4.6,0.34,0.185,9.966000000000001,0.302,0.49,0.102
1.0,0.75,0.29,0.36,0.157,5.0,0.29,0.124,9.968,0.306,0.54,0.10400000000000001
1.0,0.6599999999999999,0.18,0.28,0.017,4.1000000000000005,0.53,0.161,9.9207,0.313,0.45,0.102
1.0,0.76,0.23,0.34,0.016,4.3,0.24,0.129,9.9305,0.312,0.7,0.10400000000000001
1.0,0.63,0.29,0.29,0.033,3.7000000000000006,0.32,0.14,9.895,0.317,0.36,0.128
1.0,0.72,0.32,0.3,0.0825,2.0,0.14,0.104,9.9362,0.29900000000000004,0.44,0.114
1.0,0.7,0.23,0.35,0.013999999999999999,3.6000000000000005,0.31,0.113,9.911999999999999,0.316,0.48,0.10800000000000001
1.0,0.51,0.42,0.01,0.015,1.7000000000000002,0.25,0.102,9.894,0.33799999999999997,0.36,0.12300000000000001
1.0,0.67,0.21,0.49,0.013999999999999999,4.7,0.3,0.114,9.914,0.292,0.42,0.10800000000000001
1.0,0.65,0.22,0.5,0.16399999999999998,4.8,0.36,0.182,9.990400000000001,0.302,0.49,0.08800000000000001
1.0,0.65,0.22,0.32,0.022000000000000002,2.8000000000000003,0.36,0.092,9.9076,0.327,0.59,0.11900000000000001
1.0,0.75,0.33,0.38,0.087,12.6,0.49,0.199,9.9711,0.298,0.57,0.094
1.0,0.73,0.18,0.29,0.01,3.6000000000000005,0.26,0.101,9.9,0.309,0.37,0.11699999999999999
1.0,0.67,0.13,0.29,0.053,5.1,0.31,0.122,9.943999999999999,0.344,0.37,0.09699999999999999
1.0,0.74,0.32,0.27,0.129,4.0,0.6,0.221,9.9831,0.305,0.66,0.094
1.0,0.73,0.25,0.36,0.021,3.4000000000000004,0.3,0.177,9.9085,0.325,0.4,0.11900000000000001
1.0,0.8099999999999999,0.12,0.38,0.009000000000000001,3.4000000000000004,0.36,0.086,9.9026,0.27999999999999997,0.55,0.12
1.0,0.72,0.24,0.36,0.02,2.9000000000000004,0.21,0.063,9.9076,0.313,0.63,0.125
1.0,0.58,0.17,0.36,0.013000000000000001,3.6000000000000005,0.11,0.07,9.9202,0.343,0.68,0.10400000000000001
1.0,0.75,0.33,0.39,0.124,6.5,0.29,0.119,9.974,0.316,0.39,0.094
1.0,0.67,0.3,0.45,0.106,3.2,0.56,0.212,9.97,0.322,0.59,0.095
1.0,0.75,0.705,0.1,0.13,4.3999999999999995,0.44,0.214,9.9741,0.31,0.5,0.091
1.0,0.65,0.32,0.3,0.023,5.1,0.2,0.127,9.8964,0.313,0.52,0.128
1.0,0.77,0.28,0.39,0.08900000000000001,3.6000000000000005,0.08,0.117,9.935,0.306,0.38,0.12
1.0,0.65,0.21,0.35,0.057,4.3,0.47,0.197,9.9392,0.324,0.5,0.10099999999999999
1.0,0.65,0.37,0.3,0.022000000000000002,3.3000000000000003,0.39,0.107,9.8894,0.322,0.53,0.135
1.0,0.54,0.205,0.16,0.1255,5.1,0.31,0.115,9.9564,0.33999999999999997,0.38,0.10800000000000001
1.0,0.6900000000000001,0.18,0.36,0.013000000000000001,3.6000000000000005,0.4,0.117,9.934,0.327,0.95,0.095
1.0,0.55,0.24,0.32,0.087,6.0,0.19,0.102,9.94,0.327,0.31,0.10400000000000001
1.0,0.72,0.24,0.27,0.013999999999999999,3.8,0.31,0.122,9.927,0.315,0.46,0.10300000000000001
1.0,0.8099999999999999,0.2,0.3,0.013000000000000001,3.6000000000000005,0.07,0.049,9.924199999999999,0.29900000000000004,0.73,0.10300000000000001
1.0,0.5,0.33,0.16,0.015,4.9,0.1,0.097,9.917,0.348,0.44,0.107
1.0,0.62,0.25,0.54,0.07,4.6,0.58,0.176,9.9454,0.319,0.7,0.10400000000000001
1.0,0.63,0.25,0.23,0.149,3.9,0.47,0.142,9.9705,0.314,0.35,0.09699999999999999
1.0,0.73,0.34,0.21,0.032,5.0,0.14,0.136,9.936,0.325,0.44,0.102
1.0,0.74,0.21,0.3,0.081,4.7,0.13,0.114,9.940999999999999,0.312,0.35,0.105
1.0,0.75,0.24,0.31,0.131,5.0,0.26,0.18,9.988399999999999,0.305,0.53,0.091
1.0,0.62,0.44,0.18,0.077,9.6,0.28,0.21,9.9771,0.356,0.72,0.092
1.0,0.7,0.2,0.31,0.08,5.0,0.29,0.213,9.9596,0.32799999999999996,0.57,0.10400000000000001
1.0,0.62,0.35,0.29,0.039,4.1000000000000005,0.22,0.079,9.9005,0.31,0.59,0.12066666666700002
1.0,0.71,0.36,0.24,0.018000000000000002,2.5,0.32,0.102,9.902999999999999,0.33399999999999996,0.59,0.128
1.0,0.58,0.28,0.18,0.012,5.800000000000001,0.07,0.108,9.928799999999999,0.323,0.58,0.0955
1.0,0.65,0.28,0.25,0.048,2.9000000000000004,0.54,0.128,9.907399999999999,0.317,0.44,0.122
1.0,0.7,0.21,0.28,0.087,4.5,0.37,0.222,9.953999999999999,0.325,0.54,0.10400000000000001
1.0,0.6900000000000001,0.45,0.27,0.047,3.5000000000000004,0.17,0.08,9.9058,0.312,0.36,0.125
1.0,0.6900000000000001,0.4,0.37,0.08900000000000001,5.3,0.36,0.148,9.96,0.316,0.5,0.09300000000000001
1.0,0.72,0.55,0.09,0.015,10.8,0.16,0.151,9.938,0.307,0.57,0.092
1.0,0.67,0.23,0.17,0.013000000000000001,6.1,0.14,0.1,9.925,0.307,0.55,0.095
1.0,0.58,0.415,0.13,0.013999999999999999,4.0,0.11,0.064,9.922,0.329,0.52,0.105
1.0,0.5599999999999999,0.25,0.19,0.024,4.9,0.42,0.166,9.92,0.325,0.43,0.10400000000000001
1.0,0.72,0.25,0.28,0.14400000000000002,5.5,0.55,0.205,9.986,0.312,0.38,0.09
1.0,0.6900000000000001,0.3,0.36,0.009000000000000001,3.7000000000000006,0.4,0.156,9.8968,0.308,0.36,0.121
1.0,0.63,0.34,0.28,0.147,4.7,0.49,0.198,9.977,0.323,0.46,0.095
1.0,0.49000000000000005,0.335,0.14,0.013000000000000001,3.6000000000000005,0.69,0.168,9.9212,0.34700000000000003,0.46,0.104666666667
1.0,0.67,0.47,0.34,0.08900000000000001,4.3,0.31,0.172,9.963999999999999,0.322,0.6,0.092
1.0,0.62,0.34,0.28,0.075,3.4000000000000004,0.4,0.197,9.9485,0.314,0.6,0.09699999999999999
1.0,0.78,0.18,0.31,0.122,5.3,0.46,0.14,9.98,0.306,0.53,0.08900000000000001
1.0,0.7,0.39,0.31,0.053,16.9,0.32,0.162,9.965,0.32,0.48,0.094
1.0,0.6,0.27,0.32,0.036000000000000004,3.5000000000000004,0.36,0.133,9.9215,0.323,0.46,0.10800000000000001
1.0,0.65,0.27,0.26,0.08199999999999999,4.2,0.21,0.133,9.9612,0.343,0.64,0.098
1.0,0.8,0.23,0.35,0.092,4.3999999999999995,0.53,0.186,9.97,0.309,0.56,0.095
1.0,0.58,0.3,0.38,0.049,3.9,0.22,0.086,9.8963,0.323,0.58,0.131
1.0,0.7,0.12,0.29,0.10300000000000001,3.9,0.41,0.098,9.9564,0.319,0.38,0.098
1.0,0.9400000000000001,0.23,0.56,0.16449999999999998,6.3,0.525,0.282,10.0098,0.31,0.51,0.09300000000000001
1.0,0.65,0.18,0.34,0.016,4.0,0.43,0.148,9.911999999999999,0.33199999999999996,0.59,0.115
1.0,0.73,0.26,0.24,0.017,5.0,0.1,0.112,9.9286,0.311,0.43,0.099
1.0,0.79,0.33,0.28,0.316,5.3,0.35,0.176,10.103,0.315,0.38,0.08800000000000001
1.0,0.62,0.3,0.33,0.035,3.7000000000000006,0.37,0.155,9.8987,0.318,0.37,0.124
1.0,0.76,0.48,0.33,0.07,2.4,0.14,0.13,9.918,0.325,0.45,0.125
1.0,0.9199999999999999,0.27,0.34,0.105,4.3,0.49,0.228,9.974,0.304,0.41,0.10400000000000001
1.0,0.75,0.24,0.49,0.094,4.8,0.5,0.149,9.962,0.317,0.59,0.105
1.0,0.61,0.38,0.2,0.066,3.3000000000000003,0.25,0.137,9.938,0.32999999999999996,0.69,0.10400000000000001
1.0,0.6900000000000001,0.29,0.32,0.057999999999999996,4.0,0.16,0.112,9.93,0.304,0.58,0.11199999999999999
1.0,0.71,0.23,0.39,0.016,3.2,0.12,0.065,9.898,0.325,0.4,0.127
1.0,0.58,0.28,0.66,0.091,3.9,0.26,0.159,9.965,0.366,0.55,0.10800000000000001
1.0,0.78,0.34,0.27,0.012,4.0,0.25,0.106,9.932,0.301,0.55,0.10400000000000001
1.0,0.6,0.27,0.4,0.017,2.1,0.18,0.082,9.891,0.324,0.95,0.13133333333299999
1.0,0.65,0.24,0.29,0.08199999999999999,4.3,0.32,0.156,9.9453,0.313,0.7,0.10099999999999999
1.0,0.6799999999999999,0.27,0.37,0.08199999999999999,5.5,0.52,0.192,9.9586,0.311,0.52,0.095
1.0,0.65,0.19,0.3,0.008,4.3,0.33,0.144,9.936,0.34199999999999997,0.39,0.091
1.0,0.73,0.24,0.34,0.154,5.0,0.38,0.174,9.983,0.303,0.42,0.09
1.0,0.79,0.35,0.24,0.156,7.200000000000001,0.44,0.229,9.9785,0.303,0.59,0.105
1.0,0.72,0.4,0.24,0.085,5.5,0.45,0.151,9.9626,0.32,0.52,0.092
1.0,0.61,0.28,0.24,0.19949999999999998,7.400000000000001,0.32,0.174,9.9922,0.319,0.44,0.09300000000000001
1.0,0.74,0.21,0.8,0.12300000000000001,3.8,0.77,0.183,9.9778,0.29500000000000004,0.48,0.09
1.0,0.79,0.29,0.31,0.0735,3.4000000000000004,0.37,0.154,9.938,0.306,0.31,0.10800000000000001
1.0,0.67,0.24,0.35,0.131,5.0,0.64,0.205,9.97,0.315,0.5,0.095
1.0,0.67,0.31,0.08,0.013000000000000001,3.8,0.58,0.147,9.922,0.318,0.46,0.1
1.0,0.8800000000000001,0.35,0.49,0.01,3.6000000000000005,0.14,0.056,9.92,0.296,0.33,0.105
1.0,0.8099999999999999,0.24,0.33,0.102,4.8,0.46,0.141,9.972,0.316,0.48,0.10300000000000001
1.0,0.8099999999999999,0.2,0.49,0.11800000000000001,4.8,0.46,0.212,9.968,0.309,0.46,0.1
1.0,0.6799999999999999,0.3,0.24,0.066,12.3,0.35,0.116,9.953,0.307,0.48,0.094
1.0,0.71,0.21,0.33,0.012,3.9,0.34,0.097,9.911200000000001,0.311,0.75,0.11199999999999999
1.0,0.65,0.32,0.23,0.085,5.1,0.2,0.138,9.943,0.303,0.42,0.107
1.0,0.63,0.24,0.55,0.081,4.0,0.67,0.216,9.9596,0.324,0.5,0.092
1.0,0.79,0.35,0.36,0.016,3.8,0.11,0.124,9.928,0.325,0.48,0.11
1.0,0.5900000000000001,0.29,0.25,0.12,5.7,0.48,0.224,9.981,0.323,0.41,0.09
1.0,0.77,0.39,0.34,0.1,5.6000000000000005,0.35,0.178,9.974,0.32599999999999996,0.6,0.102
1.0,0.74,0.19,0.3,0.128,5.3,0.485,0.229,9.986,0.314,0.49,0.091
1.0,0.77,0.26,0.51,0.026000000000000002,4.5,0.26,0.159,9.912600000000001,0.3,0.5,0.11199999999999999
1.0,0.5700000000000001,0.21,0.32,0.009000000000000001,3.8,0.38,0.121,9.907399999999999,0.324,0.46,0.106
1.0,0.6599999999999999,0.24,0.35,0.077,3.1,0.36,0.135,9.938,0.319,0.37,0.105
1.0,0.63,0.27,0.25,0.057999999999999996,3.8,0.52,0.155,9.95,0.32799999999999996,0.38,0.094
1.0,0.8,0.22,0.28,0.14,5.3,0.83,0.197,9.981,0.314,0.45,0.098
1.0,0.73,0.29,0.29,0.046,2.9000000000000004,0.27,0.155,9.931,0.307,0.26,0.106
1.0,0.64,0.25,0.33,0.017,3.7000000000000006,0.35,0.113,9.9164,0.323,0.66,0.106
1.0,0.75,0.22,0.33,0.067,3.6000000000000005,0.45,0.138,9.939,0.32,0.68,0.114
1.0,0.6,0.26,0.15,0.012,5.3,0.35,0.124,9.9347,0.308,0.46,0.08800000000000001
1.0,0.64,0.28,0.43,0.071,4.5,0.6,0.221,9.952,0.309,0.45,0.094
1.0,0.6599999999999999,0.27,0.3,0.019,2.5,0.14,0.153,9.928,0.329,0.62,0.105
1.0,0.77,0.32,0.62,0.106,3.6000000000000005,0.56,0.153,9.978,0.313,0.44,0.08900000000000001
1.0,0.6599999999999999,0.22,0.23,0.17300000000000001,4.7,0.37,0.118,9.990599999999999,0.308,0.46,0.08800000000000001
1.0,0.8699999999999999,0.34,0.46,0.138,5.5,0.68,0.198,9.988,0.33599999999999997,0.37,0.095
1.0,0.7,0.11,0.32,0.046,5.7,0.59,0.144,9.956,0.355,0.44,0.094
1.0,0.52,0.335,0.2,0.017,3.3000000000000003,0.17,0.074,9.9002,0.33399999999999996,0.48,0.12300000000000001
1.0,0.72,0.21,0.37,0.016,4.9,0.23,0.094,9.924,0.316,0.48,0.109
1.0,0.9199999999999999,0.28,0.41,0.01,4.2,0.14,0.059,9.922,0.296,0.25,0.105
1.0,0.8,0.25,0.35,0.011000000000000001,5.4,0.13,0.136,9.9366,0.308,0.55,0.095
1.0,0.7,0.23,0.42,0.051,4.2,0.37,0.144,9.951799999999999,0.35,0.59,0.102
1.0,0.53,0.395,0.07,0.013000000000000001,3.5000000000000004,0.26,0.102,9.92,0.35,0.35,0.106
1.0,0.76,0.38,0.28,0.042,2.9000000000000004,0.07,0.112,9.906,0.3,0.41,0.126
1.0,0.61,0.255,0.44,0.12300000000000001,4.5,0.53,0.197,9.967,0.324,0.54,0.095
1.0,0.61,0.25,0.48,0.158,5.2,0.25,0.094,9.978200000000001,0.307,0.45,0.092
1.0,0.6799999999999999,0.28,0.44,0.115,4.0,0.58,0.223,9.969,0.322,0.56,0.095
1.0,0.78,0.49,0.49,0.07,4.3,0.29,0.149,9.952,0.321,0.33,0.1
1.0,0.61,0.24,0.26,0.017,3.3000000000000003,0.61,0.134,9.902999999999999,0.319,0.81,0.11900000000000001
1.0,0.75,0.18,0.37,0.062,5.0,0.21,0.138,9.9546,0.32,0.55,0.105
1.0,0.67,0.31,0.3,0.024,3.8,0.3,0.083,9.886700000000001,0.309,0.36,0.128
1.0,0.73,0.2,0.39,0.023,4.8,0.24,0.087,9.904399999999999,0.294,0.35,0.12
1.0,0.85,0.25,0.27,0.047,3.1,0.31,0.092,9.922,0.301,0.33,0.12
1.0,0.89,0.32,0.49,0.016,5.0,0.17,0.131,9.956,0.313,0.34,0.094
1.0,0.77,0.44,0.24,0.11199999999999999,3.1,0.41,0.167,9.948,0.312,0.43,0.113
1.0,0.6900000000000001,0.23,0.41,0.08,3.0,0.3,0.114,9.9368,0.322,0.54,0.11
1.0,0.63,0.26,0.42,0.071,4.5,0.62,0.209,9.9544,0.32,0.53,0.095
1.0,0.78,0.24,0.38,0.021,5.800000000000001,0.14,0.167,9.94,0.321,0.55,0.099
1.0,0.7,0.36,0.32,0.1005,4.5,0.37,0.131,9.9352,0.309,0.33,0.11699999999999999
1.0,0.8,0.27,0.57,0.10400000000000001,5.3,0.18,0.134,9.9732,0.312,0.68,0.09
1.0,0.7,0.36,0.35,0.025,4.8,0.67,0.161,9.9146,0.305,0.56,0.111
1.0,0.6799999999999999,0.21,0.27,0.021,3.0,0.26,0.139,9.9,0.316,0.61,0.126
1.0,0.8800000000000001,0.2,0.28,0.011000000000000001,1.8000000000000003,0.18,0.072,9.926,0.29700000000000004,0.35,0.10400000000000001
1.0,0.74,0.22,0.28,0.09,4.6,0.22,0.121,9.9468,0.31,0.55,0.10800000000000001
1.0,0.8300000000000001,0.36,0.57,0.15,5.2,0.35,0.256,10.001,0.29300000000000004,0.64,0.086
1.0,0.6799999999999999,0.25,0.24,0.0455,5.3,0.41,0.211,9.955,0.337,0.67,0.095
1.0,0.6900000000000001,0.18,0.33,0.01,5.4,0.24,0.164,9.926,0.34199999999999997,0.51,0.105
1.0,0.85,0.2,0.4,0.011000000000000001,4.6,0.31,0.106,9.9194,0.3,0.35,0.105
1.0,0.67,0.18,0.24,0.10300000000000001,5.7,0.64,0.185,9.9519,0.312,0.5,0.106
1.0,0.77,0.3,0.42,0.14300000000000002,4.5,0.45,0.213,9.991,0.318,0.63,0.092
1.0,0.63,0.29,0.23,0.142,3.7000000000000006,0.24,0.099,9.9528,0.308,0.38,0.106
1.0,0.6599999999999999,0.26,0.24,0.07200000000000001,3.8,0.28,0.137,9.952,0.335,0.6,0.10400000000000001
1.0,0.7,0.39,0.21,0.107,9.8,0.13,0.091,9.9657,0.303,0.47,0.09300000000000001
1.0,0.67,0.12,0.36,0.023,3.9,0.43,0.125,9.9229,0.307,0.67,0.10099999999999999
1.0,0.6599999999999999,0.16,0.3,0.016,3.4000000000000004,0.15,0.078,9.92,0.33799999999999997,0.44,0.11199999999999999
1.0,0.74,0.16,0.3,0.013999999999999999,6.4,0.34,0.166,9.9136,0.311,0.42,0.11433333333299998
1.0,0.61,0.2,0.25,0.012,3.8,0.34,0.128,9.921,0.324,0.44,0.10099999999999999
1.0,0.8,0.25,0.27,0.09699999999999999,3.6000000000000005,0.15,0.085,9.9406,0.29900000000000004,0.36,0.11199999999999999
1.0,0.63,0.32,0.17,0.1775,6.0,0.51,0.19,9.9916,0.313,0.48,0.08800000000000001
