,Constant,female,male,len,dia,hei,w_wei,s_wei,v_wei,sh_wei
1388,1.0,1.0,0.0,0.49,0.385,0.15,0.7865,0.241,0.14,0.24
1404,1.0,0.0,1.0,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
1508,1.0,0.0,1.0,0.49,0.39,0.15,0.573,0.225,0.124,0.17
1566,1.0,0.0,0.0,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
1710,1.0,0.0,1.0,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
1722,1.0,0.0,1.0,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06
1747,1.0,0.0,0.0,0.275,0.205,0.07,0.1055,0.495,0.019,0.0315
1789,1.0,0.0,1.0,0.585,0.455,0.125,1.027,0.391,0.212,0.25
1901,1.0,0.0,0.0,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
2046,1.0,1.0,0.0,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
2061,1.0,0.0,1.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112
2066,1.0,0.0,0.0,0.31,0.225,0.07,0.1055,0.435,0.015,0.04
2081,1.0,1.0,0.0,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
2110,1.0,1.0,0.0,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885
2197,1.0,0.0,0.0,0.43,0.34,0.0,0.428,0.2065,0.086,0.115
2199,1.0,0.0,1.0,0.725,0.575,0.24,2.21,1.351,0.413,0.5015
2200,1.0,0.0,1.0,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434
2224,1.0,0.0,0.0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
2245,1.0,0.0,1.0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
2284,1.0,0.0,1.0,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3
2289,1.0,0.0,0.0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
2331,1.0,0.0,1.0,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265
2356,1.0,1.0,0.0,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2
2418,1.0,1.0,0.0,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205
2476,1.0,0.0,0.0,0.5,0.385,0.155,0.762,0.3795,0.161,0.19
2537,1.0,0.0,1.0,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3
2627,1.0,0.0,1.0,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295
2648,1.0,0.0,0.0,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
2664,1.0,1.0,0.0,0.465,0.35,0.13,0.494,0.1945,0.103,0.155
2756,1.0,0.0,0.0,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165
2904,1.0,0.0,1.0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
2936,1.0,0.0,1.0,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
3162,1.0,1.0,0.0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27
3249,1.0,0.0,0.0,0.485,0.38,0.14,0.6729999999999999,0.2175,0.13,0.195
3266,1.0,0.0,1.0,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13
3333,1.0,0.0,0.0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
3350,1.0,1.0,0.0,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
3428,1.0,0.0,1.0,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46
3729,1.0,1.0,0.0,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
3755,1.0,1.0,0.0,0.605,0.485,0.165,1.0105,0.435,0.209,0.3
